world,r,T,ll_m0,ll_m1,ll_m2,d10,d21,d20,g1,g2,label
A,53,1500,-415.4019939141892,-296.8705380044418,-298.33743442903483,118.53145590974736,-1.466896424593017,117.06455948515435,True,False,M1_sufficient
A,54,1500,-410.46079849315925,-310.86857896655675,-315.13455656665406,99.59221952660249,-4.265977600097301,95.32624192650519,True,False,M1_sufficient
A,55,1500,-414.44997156212713,-293.2526363907153,-292.2156773281648,121.19733517141185,1.0369590625504657,122.23429423396232,True,False,M1_sufficient
A,56,1500,-416.94661788524365,-297.01092217787607,-299.66779429162955,119.93569570736759,-2.6568721137534794,117.2788235936141,True,False,M1_sufficient
A,57,1500,-415.6064805300955,-325.2746515659177,-325.97511170593066,90.33182896417782,-0.7004601400129786,89.63136882416484,True,False,M1_sufficient
A,58,1500,-410.5496909490655,-301.67214091966093,-300.76225941804574,108.87755002940457,0.9098815016151889,109.78743153101976,True,False,M1_sufficient
A,59,1500,-407.51334600224743,-322.1911918419898,-324.92529544818854,85.32215416025764,-2.734103606198744,82.5880505540589,True,False,M1_sufficient
A,60,1500,-414.9234842845408,-333.9346667763609,-335.1716211861085,80.98881750817986,-1.2369544097475682,79.7518630984323,True,False,M1_sufficient
A,61,1500,-408.920123940254,-301.72601227734776,-300.0076120661205,107.19411166290621,1.7184002112272765,108.91251187413349,True,False,M1_sufficient
A,62,1500,-411.80763280791973,-297.7008695805616,-299.62139350151836,114.10676322735816,-1.9205239209567821,112.18623930640138,True,False,M1_sufficient
A,63,1500,-413.6085701992205,-315.17034921042745,-315.29847422685026,98.43822098879303,-0.12812501642281404,98.31009597237022,True,False,M1_sufficient
A,64,1500,-409.2387683430756,-308.7538688749427,-309.1043514937197,100.48489946813288,-0.3504826187769936,100.13441684935589,True,False,M1_sufficient
A,65,1500,-412.3450487466335,-309.352218258988,-310.3144105785518,102.9928304876455,-0.962192319563826,102.03063816808168,True,False,M1_sufficient
A,66,1500,-414.7442549027754,-335.78354566928306,-341.9302020427274,78.96070923349237,-6.14665637344433,72.81405286004804,True,False,M1_sufficient
A,67,1500,-409.423291790681,-309.03111558720065,-312.4524597381927,100.39217620348035,-3.42134415099207,96.97083205248828,True,False,M1_sufficient
A,68,1500,-413.5713904278895,-297.517889360962,-299.9005092248366,116.05350106692754,-2.382619863874595,113.67088120305294,True,False,M1_sufficient
A,69,1500,-415.5472569456922,-336.33995039733253,-339.3136429401488,79.20730654835967,-2.973692542816252,76.23361400554342,True,False,M1_sufficient
A,70,1500,-411.3688270292922,-292.87985455521493,-293.80700600525284,118.48897247407729,-0.9271514500379112,117.56182102403938,True,False,M1_sufficient
A,71,1500,-411.8794463208359,-306.941940434505,-308.93610511869014,104.93750588633088,-1.9941646841851366,102.94334120214575,True,False,M1_sufficient
A,72,1500,-408.89906028872446,-332.71995197509057,-334.8339485901306,76.17910831363389,-2.113996615040037,74.06511169859385,True,False,M1_sufficient
A,73,1500,-415.76379195754305,-315.0386743292438,-321.0910298882989,100.72511762829924,-6.0523555590551155,94.67276206924413,True,False,M1_sufficient
A,74,1500,-411.6281002837786,-326.3287021769475,-332.4966229765464,85.29939810683112,-6.167920799598903,79.13147730723222,True,False,M1_sufficient
A,75,1500,-408.9333733638291,-304.6364023084751,-307.3519609813881,104.29697105535399,-2.715558672913005,101.58141238244099,True,False,M1_sufficient
A,76,1500,-412.2047697070458,-301.8587643107212,-305.0331616050949,110.34600539632459,-3.174397294373705,107.17160810195088,True,False,M1_sufficient
A,77,1500,-410.1924675246832,-312.9341609581428,-313.26574985201927,97.2583065665404,-0.3315888938764715,96.92671767266393,True,False,M1_sufficient
A,78,1500,-413.80542028788824,-312.4229693051892,-316.95886807642484,101.38245098269903,-4.5358987712356225,96.8465522114634,True,False,M1_sufficient
A,79,1500,-409.6134985877266,-297.8813620066989,-298.6811316771563,111.7321365810277,-0.7997696704574082,110.9323669105703,True,False,M1_sufficient
B,0,1500,-412.3180520018928,-412.84872392548493,-249.11166797265395,-0.5306719235921378,163.73705595283099,163.20638402923885,False,True,M2_claimed
B,1,1500,-413.9077293879366,-413.03749109482123,-233.0777645065881,0.870238293115392,179.95972658823314,180.82996488134853,False,True,M2_claimed
B,2,1500,-411.5610990112533,-408.77848447367603,-266.42019208584026,2.782614537577274,142.35829238783577,145.14090692541305,False,True,M2_claimed
B,3,1500,-411.78021572564893,-409.26056603614876,-223.68366878303797,2.51964968950017,185.5768972531108,188.09654694261096,False,True,M2_claimed
B,4,1500,-412.4689615651797,-413.9750912535797,-241.3034636091659,-1.5061296883999944,172.6716276444138,171.1654979560138,False,True,M2_claimed
B,5,1500,-412.4728835746764,-414.88925137550063,-225.06091261357437,-2.4163678008242186,189.82833876192626,187.41197096110204,False,True,M2_claimed
B,6,1500,-412.7059097361495,-412.94136290350275,-245.40572204707317,-0.23545316735322785,167.53564085642958,167.30018768907635,False,True,M2_claimed
B,7,1500,-411.9616005096496,-412.67362249175073,-253.81791068057635,-0.7120219821011347,158.8557118111744,158.14368982907325,False,True,M2_claimed
B,8,1500,-415.39900056693364,-423.47989710458774,-243.8862839615863,-8.080896537654098,179.59361314300145,171.51271660534735,False,True,M2_claimed
B,9,1500,-411.9152319420801,-412.29903315883433,-267.7597775629615,-0.38380121675425016,144.53925559587282,144.15545437911857,False,True,M2_claimed
B,10,1500,-414.53617264250636,-423.06261548182727,-261.6043762097293,-8.526442839320907,161.45823927209796,152.93179643277705,False,True,M2_claimed
B,11,1500,-412.28673160887035,-414.1466334184554,-224.15516145203256,-1.8599018095850397,189.99147196642284,188.1315701568378,False,True,M2_claimed
B,12,1500,-411.8183590810215,-411.4121115373784,-267.3769557930635,0.40624754364313276,144.03515574431492,144.44140328795805,False,True,M2_claimed
B,13,1500,-412.2321317640377,-412.98970111749827,-234.11906405134346,-0.7575693534605534,178.8706370661548,178.11306771269426,False,True,M2_claimed
B,14,1500,-411.56694982578983,-411.04822925871133,-225.46171562152082,0.5187205670785033,185.5865136371905,186.105234204269,False,True,M2_claimed
B,15,1500,-411.71347306892187,-411.559514759189,-236.8045734424717,0.1539583097328432,174.75494131671732,174.90889962645016,False,True,M2_claimed
B,16,1500,-410.8002168412067,-408.85679090156464,-261.16293629526274,1.9434259396420543,147.6938546063019,149.63728054594395,False,True,M2_claimed
B,17,1500,-411.90499528430263,-410.7012943143349,-222.70084813719293,1.2037009699677128,188.00044617714198,189.2041471471097,False,True,M2_claimed
B,18,1500,-412.3130412677065,-413.22724434139235,-250.25458214957087,-0.914203073685826,162.97266219182148,162.05845911813566,False,True,M2_claimed
B,19,1500,-413.2172057108761,-413.48837461793073,-258.4487378647093,-0.2711689070546299,155.03963675322143,154.7684678461668,False,True,M2_claimed
B,20,1500,-411.71553233938795,-412.01966624782585,-242.6637009338179,-0.30413390843790467,169.35596531400796,169.05183140557006,False,True,M2_claimed
B,21,1500,-414.7823304862378,-425.2557664054175,-247.38853636150947,-10.473435919179678,177.86723004390802,167.39379412472834,False,True,M2_claimed
B,22,1500,-412.25327015350126,-412.5422760970989,-256.7095715750121,-0.2890059435976582,155.83270452208683,155.54369857848917,False,True,M2_claimed
B,23,1500,-412.92853878887996,-415.69354873600815,-229.19384484437228,-2.765009947128192,186.49970389163587,183.73469394450768,False,True,M2_claimed
B,24,1500,-412.77680552298955,-416.55557097814966,-227.76221339327864,-3.778765455160112,188.79335758487102,185.0145921297109,False,True,M2_claimed
B,25,1500,-412.10405794927226,-412.78777031670205,-244.33894964007624,-0.6837123674297914,168.44882067662581,167.76510830919602,False,True,M2_claimed
B,26,1500,-409.8605861377143,-407.9340115078452,-244.03012949201823,1.9265746298690942,163.90388201582695,165.83045664569605,False,True,M2_claimed
B,27,1500,-415.0791676077693,-414.8292002296744,-219.28001480316698,0.24996737809487968,195.54918542650745,195.79915280460233,False,True,M2_claimed
B,28,1500,-412.8320121159284,-413.2320291828342,-226.89614065627734,-0.4000170669057752,186.33588852655686,185.93587145965108,False,True,M2_claimed
B,29,1500,-412.1716586268131,-412.09779594935577,-253.07386700559775,0.07386267745732766,159.02392894375802,159.09779162121535,False,True,M2_claimed
B,30,1500,-412.4468353268105,-412.627463033007,-236.1062660434418,-0.18062770619650337,176.52119698956523,176.34056928336872,False,True,M2_claimed
B,31,1500,-412.21961407311596,-414.91815937596425,-222.28933536084003,-2.698545302848288,192.62882401512422,189.93027871227594,False,True,M2_claimed
B,32,1500,-412.01761579054227,-411.9611736585318,-234.2575006457391,0.05644213201048842,177.70367301279268,177.76011514480317,False,True,M2_claimed
B,33,1500,-412.0786117619969,-412.70631522561666,-236.77652143855389,-0.6277034636197527,175.92979378706278,175.30209032344302,False,True,M2_claimed
B,34,1500,-412.1690121098462,-410.6206340442241,-225.99363984584792,1.548378065622103,184.6269941983762,186.1753722639983,False,True,M2_claimed
B,35,1500,-414.2120807618198,-424.2447253424331,-260.2017373153653,-10.03264458061335,164.04298802706785,154.0103434464545,False,True,M2_claimed
B,36,1500,-412.33253010833994,-407.35424455074605,-249.3858333035138,4.9782855575938925,157.96841124723224,162.94669680482613,False,True,M2_claimed
B,37,1500,-411.89954441512094,-412.2078050397805,-246.140270882822,-0.3082606246595674,166.06753415695852,165.75927353229895,False,True,M2_claimed
B,38,1500,-414.39025403664726,-417.1115874426165,-227.3830483698043,-2.721333405969233,189.7285390728122,187.00720566684296,False,True,M2_claimed
