Unnamed: 0,resid,resid_l2,resid_l2l3,regime,vix,vix3m,vix_term,baa10y,hy_oas,t10y2y
2019-12-11 14:30:00,0.0001188547961989,-0.0008430021121825762,-0.0009676764000957142,complacency,14.99,16.91,0.8864577173270254,2.04,,0.18
2019-12-12 14:30:00,-0.0029231757378291,-0.004075738088917475,-0.003905010304261234,complacency,13.94,16.09,0.8663766314481044,2.02,,0.24
2019-12-13 14:30:00,-0.0030207224103964,-0.004113759914725094,-0.0038998624422433154,complacency,12.63,15.28,0.8265706806282723,2.02,,0.21
2019-12-16 14:30:00,-0.0015796448835691,-0.0016624509982390157,-0.0014211220948666325,complacency,12.14,14.98,0.8104138851802404,2.0,,0.24
2019-12-17 14:30:00,-0.000875080370616,-0.000577780677738863,-0.0007093112154176252,complacency,12.29,15.15,0.8112211221122111,1.99,,0.26
2019-12-18 14:30:00,0.0042105307110588,0.004581417506001067,0.004606794934641536,complacency,12.58,15.2,0.8276315789473685,1.98,,0.29
2019-12-19 14:30:00,-0.0003390014748514,9.93412640128859e-05,0.00022993809751307856,complacency,12.5,15.14,0.8256274768824307,1.96,,0.3
2019-12-20 14:30:00,-0.0038084508620231,-0.0037319563312300415,-0.0037057782892129,complacency,12.51,15.32,0.8165796344647519,1.96,,0.29
2019-12-23 14:30:00,-0.0002324207534191,-0.00016983944239468856,-2.7150207099392305e-05,complacency,12.61,15.5,0.8135483870967741,1.96,,0.29
2019-12-24 14:30:00,0.0013232255096422,0.0012017681357318045,0.0011012724601602041,complacency,12.67,15.52,0.8163659793814433,1.97,,0.28
2019-12-26 14:30:00,-0.0006150280085945,-0.0004908168770146971,-0.00020174166619384826,complacency,12.65,15.52,0.8150773195876289,1.97,,0.26
2019-12-27 14:30:00,0.0011368050959416,0.0014335975749216745,0.0018542019524327219,complacency,13.43,15.95,0.8420062695924765,1.96,,0.29
2019-12-30 14:30:00,0.0019208112499685,0.0017535931061412133,0.0017997750476348403,complacency,14.82,16.68,0.8884892086330936,1.97,,0.32
2019-12-31 14:30:00,0.0013699029394574,-0.000407399769979763,-0.0004219755206418354,complacency,13.78,15.87,0.8683049779458097,1.98,,0.34
2020-01-02 14:30:00,-0.0044001652492993,-0.004264622663021914,-0.003955677406205153,complacency,12.47,15.19,0.8209348255431206,1.98,,0.3
