Date,AAPL,AMZN,GOOGL,MAGS,META,MSFT,NVDA,QQQ,SMH,SPMO,SPY,TSLA,VOO
2023-03-08,150.4185791015625,93.91999816894531,93.4216079711914,224.4588410703474,183.35983276367188,246.8306121826172,24.131484985351562,291.8563537597656,121.51861572265625,52.16641616821289,381.4408874511719,182.0,349.6134033203125
2023-03-09,148.17510986328125,92.25,91.50857543945312,219.42311271840015,180.10836791992188,245.48797607421875,23.38801383972168,286.79962158203125,119.19034576416016,51.53000259399414,374.4034118652344,172.9199981689453,343.21343994140625
2023-03-10,146.11863708496094,90.7300033569336,89.83343505859375,216.52255902265546,177.9473419189453,241.85894775390625,22.91797637939453,282.7718811035156,117.26162719726562,51.047882080078125,369.00091552734375,173.44000244140625,338.29180908203125
2023-03-13,148.05703735351562,92.43000030517578,90.3092041015625,218.76582742630723,179.32525634765625,247.0446319580078,22.918973922729492,284.8691101074219,117.18270874023438,50.92251968383789,368.4750061035156,174.47999572753906,337.7195129394531
2023-03-14,150.14303588867188,94.87999725341797,93.14407348632812,227.1931727621534,192.33102416992188,253.7285919189453,24.013731002807617,291.4153137207031,120.68989562988281,51.3660888671875,374.5659484863281,183.25999450683594,343.3279113769531
2023-03-15,150.53662109375,96.19999694824219,95.26526641845703,229.396492607175,196.028564453125,258.25274658203125,24.178390502929688,292.944091796875,119.33338928222656,50.54645919799805,372.2232971191406,180.4499969482422,341.2104187011719
2023-03-16,153.3507537841797,100.04000091552734,99.4382553100586,237.71528958542257,203.14605712890625,268.721435546875,25.48870277404785,300.666259765625,124.10830688476562,50.88395309448242,378.75396728515625,184.1300048828125,347.0476379394531
2023-03-17,152.51441955566406,98.94999694824219,100.72684478759766,235.95976664300963,193.90721130371094,271.86395263671875,25.672327041625977,299.24530029296875,123.47692108154297,50.151119232177734,374.3253479003906,180.1300048828125,343.2515869140625
2023-03-20,154.87586975097656,97.70999908447266,100.33036041259766,236.25029918512107,196.08802795410156,264.85888671875,25.846965789794922,300.3072509765625,124.71996307373047,51.066444396972656,377.9247131347656,183.25,346.35137939453125
2023-03-21,156.72573852539062,100.61000061035156,103.9978256225586,242.85200386201976,200.400146484375,266.36688232421875,26.145357131958008,304.596435546875,125.11458587646484,51.75562286376953,382.8870849609375,197.5800018310547,350.8819274902344
2023-03-22,155.29901123046875,98.69999694824219,102.46145629882812,240.00010376612596,198.0706329345703,264.917236328125,26.41380500793457,300.4544982910156,124.310546875,50.872318267822266,376.36016845703125,191.14999389648438,345.0638122558594
2023-03-23,156.38133239746094,98.70999908447266,104.67184448242188,243.55382761298884,202.50173950195312,270.141845703125,27.135324478149414,304.017333984375,127.6155014038086,50.68789291381836,377.3775939941406,192.22000122070312,345.8840637207031
2023-03-24,157.68020629882812,98.12999725341797,104.51326751708984,243.39015103864324,204.21664428710938,272.97308349609375,26.724166870117188,305.1362609863281,125.5979995727539,51.066444396972656,379.85400390625,190.41000366210938,348.1893005371094
2023-03-27,155.7417755126953,98.04000091552734,101.55944061279297,240.82748759532103,201.0742645263672,268.896484375,26.476675033569336,303.045654296875,124.13296508789062,51.650787353515625,380.5642395019531,191.80999755859375,348.7639465332031
2023-03-28,155.1219024658203,97.23999786376953,100.14201354980469,238.79329867635843,198.9330596923828,267.777587890625,26.35592269897461,301.4360046386719,123.26972961425781,51.949745178222656,379.71002197265625,189.19000244140625,348.1509704589844
2023-03-29,158.1918487548828,100.25,100.49884796142578,243.6813082899703,203.56240844726562,272.9146728515625,26.928749084472656,306.9323425292969,127.107421875,52.36713409423828,385.22906494140625,193.8800048828125,353.1023864746094
2023-03-30,159.75637817382812,102.0,100.00325012207031,246.08915037939803,206.0307159423828,276.3587646484375,27.326932907104492,309.8375549316406,128.9276123046875,52.51272964477539,387.48468017578125,195.27999877929688,355.2094421386719
2023-03-31,162.25563049316406,103.29000091552734,102.81829071044922,251.99143045888525,210.09503173828125,280.4937438964844,27.720123291015625,314.99041748046875,129.8253631591797,52.930118560791016,392.94610595703125,207.4600067138672,360.17041015625
2023-04-03,163.5052490234375,102.41000366210938,103.44275665283203,250.28061166340362,211.21522521972656,279.4527282714844,27.907739639282227,314.224853515625,129.08546447753906,54.15315246582031,394.44342041015625,194.77000427246094,361.5973815917969
