"STUB_1","STUB_2","3/25/11","3/18/11","3/26/10","3/27/09","3/25/11","3/26/10"
"Refiner and Blender Net Production ","15 ppm sulfur and Under","3,686","3,700","2,959","2,914","3,555","2,937"
"Refiner and Blender Net Production ","East Coast (PADD 1)","170","160","269","138","190","224"
"Refiner and Blender Net Production ","Midwest (PADD 2)","912","819","696","780","849","772"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","1,992","2,070","1,490","1,399","1,889","1,400"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","148","161","143","153","158","147"
"Refiner and Blender Net Production ","West Coast (PADD 5)","463","490","361","444","469","394"
"Refiner and Blender Net Production ","> 15 ppm to 500 ppm sulfur","199","257","303","581","208","378"
"Refiner and Blender Net Production ","East Coast (PADD 1)","10","11","3","26","5","2"
"Refiner and Blender Net Production ","Midwest (PADD 2)","46","36","59","49","47","46"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","105","160","204","473","114","296"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","10","15","18","17","13","16"
"Refiner and Blender Net Production ","West Coast (PADD 5)","29","35","19","16","28","18"
"Refiner and Blender Net Production ","> 500 ppm sulfur","348","361","313","387","422","366"
"Refiner and Blender Net Production ","East Coast (PADD 1)","115","128","89","102","133","104"
"Refiner and Blender Net Production ","Midwest (PADD 2)","15","23","16","18","26","30"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","161","168","167","237","211","206"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","3","2","1","-2","1","1"
"Refiner and Blender Net Production ","West Coast (PADD 5)","53","40","40","32","51","26"
"Refiner and Blender Net Production ","Residual Fuel Oil","580","510","468","586","527","513"
"Refiner and Blender Net Production ","East Coast (PADD 1)","53","48","57","114","51","64"
"Refiner and Blender Net Production ","Midwest (PADD 2)","54","48","31","47","43","37"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","341","301","224","230","313","266"
"Refiner and Blender Net Production ","Rocky Mountain (PADD 4)","9","11","7","10","10","6"
"Refiner and Blender Net Production ","West Coast (PADD 5)","123","103","149","185","110","140"
"Refiner and Blender Net Production ","Propane/Propylene","1,013","1,047","1,058","1,025","1,015","1,051"
"Refiner and Blender Net Production ","East Coast (PADD 1)","40","44","41","36","42","45"
"Refiner and Blender Net Production ","Midwest (PADD 2)","235","255","234","203","250","242"
"Refiner and Blender Net Production ","Gulf Coast (PADD 3)","680","688","724","625","663","700"
"Refiner and Blender Net Production ","PADDs 4 and 5","58","60","59","161","60","64"
"Ethanol Plant Production ","Fuel Ethanol","903","913","–","–","898","–"
"Ethanol Plant Production ","East Coast (PADD 1)","W","W","W","W","W","W"
"Ethanol Plant Production ","Midwest (PADD 2)","851","863","–","–","848","–"
"Ethanol Plant Production ","Gulf Coast (PADD 3)","W","W","W","W","W","W"
"Ethanol Plant Production ","Rocky Mountain (PADD 4)","W","W","W","W","W","W"
"Ethanol Plant Production ","West Coast (PADD 5)","W","W","W","W","W","W"
"Stocks (Million Barrels) ","Crude Oil (including SPR)","1,082.254","1,079.309","1,080.796","1,070.442","– –","– –"
"Stocks (Million Barrels) ","Commercial","355.712","352.767","354.189","359.427","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","11.778","10.959","12.760","13.178","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","106.207","105.053","85.009","85.607","– –","– –"
"Stocks (Million Barrels) ","Cushing, Oklahoma","41.886","40.197","30.936","30.853","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","172.541","171.829","187.218","187.446","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","15.327","15.370","16.234","14.972","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","49.859","49.556","52.968","58.224","– –","– –"
"Stocks (Million Barrels) ","Alaska In-Transit","3.968","4.390","–","–","– –","– –"
"Stocks (Million Barrels) ","SPR","726.542","726.542","726.607","711.015","– –","– –"
"Stocks (Million Barrels) ","Total Motor Gasoline","217.036","219.720","224.872","216.793","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","58.457","60.405","58.536","58.107","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","51.173","51.485","55.327","51.919","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","68.652","69.753","72.204","71.158","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","6.896","6.954","6.264","6.410","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","31.859","31.123","32.541","29.199","– –","– –"
"Stocks (Million Barrels) ","Finished Motor Gasoline","64.682","66.986","80.932","87.236","– –","– –"
"Stocks (Million Barrels) ","Reformulated","1.098","1.208","1.252","1.300","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","1.083","1.192","0.267","0.201","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.609","0.658","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.015","0.016","0.376","0.441","– –","– –"
"Stocks (Million Barrels) ","Blended with Fuel Ethanol","1.098","1.208","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","1.083","1.192","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.015","0.016","–","–","– –","– –"
"Stocks (Million Barrels) ","Other","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Conventional","63.585","65.779","79.680","85.936","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","10.241","11.630","16.430","19.027","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","24.370","24.945","27.377","28.826","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","20.756","20.730","28.020","29.583","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","4.596","4.606","4.249","3.923","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","3.622","3.868","3.604","4.577","– –","– –"
"Stocks (Million Barrels) ","Blended with Fuel Ethanol","0.209","0.222","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.047","0.035","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.119","0.134","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.010","0.018","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.033","0.035","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Ed55 and Lower","0.209","0.222","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.047","0.035","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.119","0.134","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.010","0.018","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.033","0.035","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Greater than Ed55","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","–","–","– –","– –"
"Stocks (Million Barrels) ","Other","63.376","65.557","–","–","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","10.194","11.595","–","–","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","24.251","24.811","–","–","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","20.746","20.712","–","–","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","4.563","4.571","–","–","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","3.622","3.868","–","–","– –","– –"
"Stocks (Million Barrels) ","Motor Gasoline Blending Components","152.353","152.733","143.940","129.557","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","47.133","47.584","41.839","38.879","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","26.803","26.540","27.950","23.093","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","47.895","49.023","43.575","40.917","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","2.300","2.348","2.015","2.487","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","28.222","27.238","28.561","24.181","– –","– –"
"Stocks (Million Barrels) ","RBOB","49.543","51.579","48.081","49.499","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","18.673","20.009","18.071","18.958","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","5.037","5.516","5.592","6.255","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","10.479","11.102","9.934","12.056","– –","– –"
